testcase,result,"(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'OX'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O0'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O1'))",comment
MultiSource/Benchmarks/MiBench/telecomm-FFT/telecomm-fft,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/MiBench/telecomm-adpcm/telecomm-adpcm,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/MiBench/telecomm-gsm/telecomm-gsm,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/NPB-serial/is/is,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/bh/bh,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/bisort/bisort,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/em3d/em3d,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/health/health,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/mst/mst,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/perimeter/perimeter,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/power/power,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/treeadd/treeadd,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/tsp/tsp,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Olden/voronoi/voronoi,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/PAQ8p/paq8p,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/NP/np,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/city/city,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/deriv1/deriv1,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/deriv2/deriv2,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/employ/employ,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/family/family,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/fsm/fsm,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/garage/garage,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/life/life,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/objects/objects,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/ocean/ocean,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/office/office,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/primes/primes,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/shapes/shapes,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/simul/simul,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/trees/trees,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C++/vcirc/vcirc,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/TimberWolfMC/timberwolfmc,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/agrep/agrep,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/allroots/allroots,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/archie-client/archie,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/assembler/assembler,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/bison/mybison,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/cdecl/cdecl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/compiler/compiler,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/fixoutput/fixoutput,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/football/football,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/gnugo/gnugo,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/loader/loader,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/plot2fig/plot2fig,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/simulator/simulator,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/unix-smail/unix-smail,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Prolangs-C/unix-tbl/unix-tbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Ptrdist/anagram/anagram,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Ptrdist/bc/bc,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Ptrdist/ft/ft,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Ptrdist/ks/ks,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Ptrdist/yacr2/yacr2,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/SciMark2-C/scimark2,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/ControlFlow-dbl/ControlFlow-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/ControlFlow-flt/ControlFlow-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/ControlLoops-dbl/ControlLoops-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/ControlLoops-flt/ControlLoops-flt,--,PASS,PASS,PASS,--
